""	"SRR12534940"	"SRR12534942"	"SRR12534944"	"SRR12534946"	"SRR12534964"	"SRR12534966"	"SRR12534968"	"SRR12534970"
"LOC106562538"	11	8	7	4	7	0	9	5
"LOC106562539"	0	0	0	0	0	0	0	0
"LOC106562540"	758	691	576	681	682	722	571	609
"LOC106562541"	0	0	0	0	0	0	0	0
"LOC106562545"	0	0	0	0	0	0	0	3
"LOC106562546"	375	340	370	280	472	334	370	212
"LOC106562547"	1627	1382	1105	1493	1162	1111	1043	980
"LOC106562549"	0	2	4	3	5	14	6	28
"LOC106562552"	135	193	188	182	168	243	210	321
"LOC106562554"	230	304	158	247	272	278	236	237
"LOC106562556"	0	0	0	1	2	4	0	0
"LOC106562559"	0	0	0	1	0	0	0	0
"LOC106562560"	77	111	84	108	199	394	154	851
"LOC106562561"	81	29	90	68	58	23	116	33
"LOC106562562"	5	4	5	6	19	33	21	62
"LOC106562566"	31	36	38	41	85	198	131	294
"LOC106562568"	1	3	1	0	12	38	5	54
"LOC106562575"	174	177	142	155	209	193	219	160
"LOC106562576"	18	20	19	11	26	31	14	5
"LOC106562578"	636	568	623	606	555	385	386	384
"LOC106562580"	358	367	414	362	402	257	368	254
"LOC106562582"	693	537	552	632	640	508	678	515
"LOC106562583"	2	3	0	0	15	29	1	56
"LOC106562585"	41	33	41	32	47	49	45	32
"LOC106562586"	313	293	252	284	234	225	254	206
"LOC106562590"	334	340	295	276	296	276	289	267
"LOC106562591"	1	6	8	3	10	6	5	8
"LOC106562592"	954	937	882	1362	846	840	886	755
"LOC106562593"	464	537	365	387	535	381	393	300
"LOC106562596"	0	0	0	0	2	0	1	0
"LOC106562599"	231	251	215	237	355	273	277	203
"LOC106562600"	1301	1018	906	1148	1099	942	1018	780
"LOC106562604"	382	437	508	399	342	330	478	307
"LOC106562605"	374	427	437	323	496	469	508	371
"LOC106562606"	3	4	5	7	7	9	5	172
"LOC106562607"	101	88	82	108	102	96	95	74
"LOC106562608"	264	244	255	277	200	204	219	171
"LOC106562609"	3	6	50	2	3	54	0	2
"LOC106562610"	565	485	518	494	579	569	601	493
"LOC106562614"	642	785	699	712	673	625	691	592
"LOC106562616"	7	0	8	14	24	7	4	22
"LOC106562620"	215	224	204	174	240	210	249	178
"LOC106562621"	17	22	20	19	43	46	41	60
"LOC106562622"	5	4	8	8	8	8	8	1
"LOC106562623"	3	5	7	5	5	7	11	4
"LOC106562624"	1134	800	774	995	828	805	699	636
"LOC106562628"	28	20	12	23	17	31	16	47
"LOC106562631"	695	463	441	565	498	353	358	360
"LOC106562632"	2886	2498	2104	3064	2778	2230	2178	1977
"LOC106562633"	1	0	0	0	2	3	0	0
"LOC106562634"	6	12	7	9	15	12	9	9
"LOC106562636"	0	1	0	0	0	0	0	0
"LOC106562645"	5	5	3	4	2	2	3	2
"LOC106562648"	202	242	148	221	220	252	153	177
"LOC106562652"	1039	1128	1201	986	957	1035	1044	749
"LOC106562654"	184	162	158	148	153	161	152	98
"LOC106562656"	136	96	216	115	186	288	277	327
"LOC106562658"	0	0	0	0	0	1	0	2
"LOC106562660"	1261	1241	975	944	1152	978	1031	874
"LOC106562661"	0	0	3	0	0	0	0	0
"LOC106562664"	4459	3048	2357	4004	2946	2822	2745	2475
"LOC106562666"	29	73	39	44	88	85	82	98
"LOC106562667"	4	1	3	3	1	3	0	3
"LOC106562668"	1058	881	913	861	976	811	812	731
"LOC106562672"	26	38	25	22	17	23	35	5
"LOC106562673"	2251	1845	1812	2147	1770	1689	2025	1307
"LOC106562676"	589	587	474	476	650	531	598	418
"LOC106562677"	6	19	12	11	7	11	10	14
"LOC106562680"	0	0	0	0	0	0	0	0
"LOC106562681"	0	0	0	0	0	0	0	0
"LOC106562683"	0	0	0	0	0	0	0	0
"LOC106562684"	11	19	9	22	37	147	48	72
"LOC106562687"	5	10	3	4	6	17	11	7
"LOC106562689"	514	536	319	519	551	447	520	467
"LOC106562691"	22	15	19	22	18	24	28	51
"LOC106562693"	569	674	522	518	651	678	684	514
"LOC106562696"	126	38	38	70	26	22	19	27
"LOC106562699"	4012	3987	3173	3635	3949	3253	3993	2575
"LOC106562702"	1759	1619	1540	1868	1688	1663	1645	1527
"LOC106562703"	13	16	23	13	12	30	10	13
"LOC106562704"	0	0	0	3	1	2	1	0
"LOC106562705"	40	38	40	36	42	33	31	30
"LOC106562706"	15	10	13	9	13	7	7	6
"LOC106562707"	1	2	1	1	2	4	1	7
"LOC106562708"	670	728	681	715	819	773	923	529
"LOC106562710"	5277	5279	4950	5200	4371	4104	4211	3314
"LOC106562712"	22	35	19	27	31	34	30	28
"LOC106562713"	2	3	2	3	11	11	5	29
"LOC106562714"	60	37	41	45	74	41	43	56
"LOC106562715"	2929	2663	1810	3102	2894	2097	2808	1898
"LOC106562717"	75	0	44	0	0	0	1	0
"LOC106562718"	8	2	11	2	9	9	3	16
"LOC106562719"	160	131	127	131	163	128	125	132
"LOC106562729"	1365	1489	1277	1345	1405	1098	1276	970
"LOC106562731"	2	11	7	8	30	106	42	123
"LOC106562734"	2	9	0	4	9	6	10	6
"LOC106562735"	7	0	1	1	2	6	5	6
"LOC106562738"	98	87	129	93	245	301	228	256
"LOC106562741"	855	662	588	541	805	813	620	525
"LOC106562742"	1260	946	905	972	945	1023	904	1010
"LOC106562743"	127	122	143	131	228	472	269	284
"LOC106562745"	0	0	0	0	0	0	0	0
"LOC106562749"	0	0	0	0	0	0	0	0
"LOC106562750"	78	107	72	75	123	166	131	181
"LOC106562751"	650	704	539	430	642	804	637	583
"LOC106562752"	10	18	9	10	8	9	5	5
"LOC106562755"	88	91	106	79	98	130	122	113
"LOC106562765"	360	251	202	316	255	266	274	194
"LOC106562767"	17	12	16	3	9	8	5	21
"LOC106562770"	4	9	5	5	10	10	3	12
"LOC106562772"	0	1	1	3	3	1	4	0
"LOC106562773"	1059	847	736	1024	894	713	801	637
"LOC106562774"	2362	2226	2017	1982	2219	1842	2316	1448
"LOC106562775"	3	11	1	4	5	10	4	6
"LOC106562779"	91	82	70	80	109	97	120	67
"LOC106562785"	123	130	128	118	144	145	156	106
"LOC106562787"	478	659	600	648	701	1301	709	1535
"LOC106562788"	4416	4776	4389	4132	4553	4120	5162	3123
"LOC106562790"	1714	1875	1920	1661	1652	1735	2084	1269
"LOC106562791"	19	8	18	12	13	23	16	16
"LOC106562792"	4	0	0	0	3	0	0	0
"LOC106562793"	212	183	175	175	145	140	158	79
"LOC106562795"	108	137	119	107	139	120	118	114
"LOC106562797"	1259	1472	1332	1449	1259	1256	1363	959
"LOC106562798"	10	14	10	15	16	37	14	37
"LOC106562799"	0	0	0	0	1	0	0	0
"LOC106562804"	16	15	13	15	31	27	20	27
"LOC106562805"	52	67	39	50	45	78	32	27
"LOC106562806"	6	15	13	17	28	22	17	24
"LOC106562807"	0	1	1	0	0	1	1	0
"LOC106562814"	1327	1155	1138	1292	1193	1336	1290	1114
"LOC106562816"	282	2	192	3	5	4	4	2
"LOC106562818"	1	0	1	0	2	1	3	0
"LOC106562823"	226	297	230	165	347	375	356	418
"LOC106562824"	853	791	683	727	674	598	680	503
"LOC106562826"	10	12	6	24	9	17	9	9
"LOC106562827"	62	78	68	97	159	205	125	473
"LOC106562828"	112	130	117	114	129	137	153	137
"LOC106562829"	31	41	29	45	107	128	105	108
"LOC106562830"	593	641	572	644	602	743	668	649
"LOC106562832"	13949	12397	10488	10910	11448	10036	11168	7598
"LOC106562833"	341	285	275	317	265	294	320	217
"LOC106562834"	1	0	0	0	0	0	0	0
"LOC106562835"	524	668	638	572	683	506	682	357
"LOC106562836"	383	486	324	428	391	338	336	273
"LOC106562837"	1452	1151	1124	1104	1152	1222	1287	731
"LOC106562838"	257	276	246	271	290	196	262	139
"LOC106562839"	350	211	180	126	141	133	165	166
"LOC106562840"	1	4	1	0	4	13	7	25
"LOC106562841"	9	1	3	4	4	0	10	7
"LOC106562842"	49	135	96	69	90	166	88	73
"LOC106562843"	0	0	0	1	1	0	0	1
"LOC106562846"	0	0	0	0	0	0	0	0
"LOC106562847"	2	0	0	1	0	2	2	3
"LOC106562848"	59	110	79	50	149	90	200	177
"LOC106562849"	2	4	3	4	1	4	1	0
"LOC106562850"	15	42	25	37	104	198	88	470
"LOC106562852"	486	442	413	541	570	429	526	389
"LOC106562854"	328	350	65	261	371	758	772	622
"LOC106562857"	0	0	0	0	0	0	0	0
"LOC106562859"	1	1	0	0	1	0	7	1
"LOC106562861"	68	48	58	52	15	21	25	29
"LOC106562865"	348	358	229	344	291	297	303	217
"LOC106562866"	2	0	1	0	0	1	4	1
"LOC106562867"	244	260	231	119	145	263	275	267
"LOC106562868"	1936	1907	1755	1761	1936	1684	1950	1206
"LOC106562869"	32	35	31	39	39	84	55	125
"LOC106562870"	13	5	9	8	11	30	14	33
"LOC106562872"	865	922	783	839	918	753	845	643
"LOC106562874"	1732	1524	1658	2075	1610	741	1825	955
"LOC106562877"	84	96	98	91	125	81	84	102
"LOC106562879"	0	0	0	1	0	0	0	0
"LOC106562880"	5	0	1	14	0	16	19	0
"LOC106562881"	1200	1066	1018	913	1294	1149	1258	809
"LOC106562882"	274	349	328	297	313	255	382	212
"LOC106562884"	6	7	11	6	21	43	24	53
"LOC106562885"	74	92	79	67	87	111	109	122
"LOC106562887"	17	20	26	27	38	33	40	36
"LOC106562888"	0	0	1	4	1	1	2	3
"LOC106562889"	915	820	806	765	895	506	1000	649
"LOC106562890"	1194	554	443	1338	1276	1186	1270	437
"LOC106562891"	7	5	2	3	2	5	12	5
"LOC106562892"	6	7	6	9	14	17	16	14
"LOC106562893"	294	384	299	279	428	529	447	602
"LOC106562896"	56	75	55	53	118	121	139	122
"LOC106562900"	141	173	121	143	198	145	228	140
"LOC106562903"	542	668	519	660	551	455	691	394
"LOC106562905"	6	7	3	2	6	2	8	9
"LOC106562906"	1755	1744	1698	1528	1959	1792	1980	1417
"LOC106562907"	128	97	130	82	122	136	104	60
"LOC106562908"	215	71	98	126	109	60	59	68
"LOC106562911"	4	1	5	3	3	2	4	4
"LOC106562912"	164	144	92	117	198	239	228	213
"LOC106562913"	510	575	538	536	662	629	730	476
"LOC106562915"	208	246	378	246	204	172	263	163
"LOC106562916"	320	224	260	285	270	289	280	287
"LOC106562917"	964	830	851	837	1141	898	1110	709
"LOC106562918"	1131	1578	1168	1413	1808	1407	1608	1364
"LOC106562921"	1567	1797	1382	1883	1679	2865	1789	3055
"LOC106562923"	2	32	1	1	0	32	51	39
"LOC106562926"	15	25	14	11	19	28	37	16
"LOC106562928"	2649	2706	2104	2735	2578	2020	2749	1737
"LOC106562929"	657	525	494	542	615	509	675	402
"LOC106562930"	521	555	358	450	404	493	412	327
"LOC106562932"	16	17	15	17	10	17	22	26
"LOC106562933"	1613	6	463	669	607	433	17	12
"LOC106562935"	77	32	76	54	74	120	86	169
"LOC106562938"	37	38	63	37	75	80	74	75
"LOC106562947"	120	120	125	143	96	98	169	98
"LOC106562948"	178	246	220	285	307	252	234	236
"LOC106562949"	1392	1525	1412	1459	1434	1269	1306	1006
"LOC106562955"	56	71	58	85	161	274	145	223
"LOC106562956"	124	140	159	112	182	170	179	130
"LOC106562960"	2348	2213	1931	2029	2404	1962	2438	1610
"LOC106562961"	14	13	7	7	10	5	7	6
"LOC106562962"	295	379	234	308	1124	1943	1278	1651
"LOC106562963"	22	29	35	30	97	193	91	330
"LOC106562965"	647	622	568	673	574	564	610	444
"LOC106562966"	757	643	569	679	605	488	466	418
"LOC106562968"	92	83	83	53	121	78	54	55
"LOC106562970"	11327	11456	10127	10809	9048	8427	8730	6520
"LOC106562972"	159	72	49	164	244	223	227	154
"LOC106562973"	4	4	3	5	4	3	2	4
"LOC106562974"	1	1	0	2	0	2	0	1
"LOC106562976"	42	41	35	55	76	75	60	63
"LOC106562977"	75	47	47	50	79	134	105	133
"LOC106562979"	1562	1593	1281	1563	1375	1112	1321	927
"LOC106562980"	807	547	489	621	537	410	631	434
"LOC106562983"	1025	1318	1183	1789	2100	4238	3045	4557
"LOC106562986"	162	200	193	151	217	185	186	117
"LOC106562989"	1572	1680	1252	1512	1348	1416	1423	1690
"LOC106562990"	436	367	398	376	406	407	417	299
"LOC106562991"	135	176	112	119	188	118	144	197
"LOC106562992"	17263	22219	16864	18170	19332	25690	19871	27374
"LOC106562994"	406	220	448	299	197	153	332	138
"LOC106562999"	31	97	65	54	64	77	46	123
"LOC106563000"	124	70	107	98	116	145	155	110
"LOC106563006"	639	602	536	549	914	888	897	737
"LOC106563008"	2	0	1	1	1	0	0	1
"LOC106563009"	10	7	11	10	5	1	9	1
"LOC106563014"	1	1	1	2	0	0	1	3
"LOC106563016"	5818	5727	3960	5323	4719	4421	4024	3499
"LOC106563017"	1287	1458	1359	1187	1628	830	1868	1258
"LOC106563018"	642	815	687	629	923	785	902	794
"LOC106563019"	58	29	29	20	41	34	56	26
"LOC106563020"	168	154	187	138	175	144	181	88
"LOC106563021"	0	0	0	0	1	1	0	0
"LOC106563026"	30	24	30	18	18	10	15	14
"LOC106563028"	185	200	251	163	234	220	305	173
"LOC106563031"	2066	1829	1870	1859	1827	1526	1813	1284
"LOC106563032"	1	1	3	2	1	1	2	3
"LOC106563033"	6	9	7	10	14	37	31	83
"LOC106563034"	359	308	395	330	492	449	549	733
"LOC106563036"	0	2	6	6	7	37	2	6
"LOC106563037"	1472	1250	1016	1186	1200	1035	999	788
"LOC106563038"	4	3	2	8	13	19	5	19
"LOC106563039"	11	13	11	7	16	7	14	24
"LOC106563040"	333	253	289	328	242	259	250	237
"LOC106563041"	5460	5535	5179	5313	5404	4612	5243	4287
"LOC106563043"	402	364	395	368	383	440	471	398
"LOC106563044"	112	152	106	131	142	170	142	122
"LOC106563045"	3	10	1	3	8	5	10	10
"LOC106563046"	536	601	442	407	647	518	624	485
"LOC106563047"	49	30	21	35	39	42	34	36
"LOC106563050"	423	432	359	465	402	586	479	609
"LOC106563051"	1734	1421	1544	1643	1685	1508	2018	1113
"LOC106563052"	1	5	4	5	8	4	6	4
"LOC106563053"	2	2	0	1	0	0	0	4
"LOC106563054"	68	70	83	73	76	59	75	52
"LOC106563065"	243	211	176	175	181	148	126	138
"LOC106563068"	2	0	0	0	1	3	0	5
"LOC106563076"	23	17	29	28	29	53	63	26
"LOC106563077"	16	16	17	25	40	65	60	89
"LOC106563080"	315	275	325	223	370	413	364	185
"LOC106563084"	8	20	2	20	36	60	22	59
"LOC106563086"	22	22	19	30	9	11	21	52
"LOC106563087"	639	551	522	630	650	589	626	461
"LOC106563089"	37	47	26	42	37	26	36	16
"LOC106563090"	1	3	1	1	1	5	1	1
"LOC106563094"	0	0	0	0	0	0	0	0
"LOC106563101"	1	2	4	4	1	0	2	3
"LOC106563102"	0	0	0	0	0	0	2	0
"LOC106563105"	42	58	35	47	45	50	32	84
"LOC106563106"	0	0	1	1	5	2	1	3
"LOC106563107"	0	0	1	0	0	1	1	0
"LOC106563108"	369	394	472	346	178	235	240	218
"LOC106563110"	0	2	0	1	0	0	0	1
"LOC106563113"	17	5	27	7	14	25	7	26
"LOC106563114"	448	355	382	502	424	285	472	224
"LOC106563116"	94	127	109	125	125	127	173	111
"LOC106563117"	4	7	2	6	14	25	12	54
"LOC106563118"	159	168	178	170	184	248	206	173
"LOC106563119"	11	14	8	6	8	32	22	19
"LOC106563120"	632	393	390	375	415	355	338	147
"LOC106563121"	1062	1117	1072	948	1180	1186	1338	1021
"LOC106563124"	1	0	0	1	2	0	0	7
"LOC106563125"	2915	3876	2870	2469	2966	2923	3169	1949
"LOC106563126"	4358	3975	3580	3512	3885	3674	4316	2689
"LOC106563127"	1556	1291	1340	1177	1517	1128	1435	985
"LOC106563129"	143	159	117	109	274	306	182	238
"LOC106563133"	97	51	54	46	60	32	67	31
"LOC106563136"	997	999	920	916	918	627	1148	767
"LOC106563137"	3	0	0	1	3	1	4	0
"LOC106563138"	3	6	83	8	10	6	3	4
"LOC106563139"	17	11	23	15	36	54	37	68
"LOC106563140"	306	337	327	367	513	376	359	306
"LOC106563141"	3362	3004	3011	3626	3232	2572	2636	2282
"LOC106563142"	2	3	2	2	7	4	3	0
"LOC106563143"	1023	1256	1044	929	1413	1306	1602	1345
"LOC106563144"	213	224	198	252	242	403	508	417
"LOC106563145"	4	3	7	6	3	2	9	5
"LOC106563151"	171	154	198	136	186	95	158	137
"LOC106563153"	4200	4912	4366	3595	5140	4385	5013	3567
"LOC106563154"	4279	3540	3254	3712	3500	3340	3421	2584
"LOC106563155"	155	112	105	95	133	118	117	145
"LOC106563156"	1676	1579	1336	1669	1618	1781	1695	2267
"LOC106563157"	468	727	476	613	674	879	796	699
"LOC106563158"	7	3	12	19	9	14	35	7
"LOC106563159"	1684	1547	1424	1538	1404	1380	1637	1256
"LOC106563160"	4998	3816	3559	4581	3680	3010	3926	2484
"LOC106563161"	85	55	27	20	18	29	45	24
"LOC106563162"	1052	887	717	647	604	464	699	397
"LOC106563163"	10	2	12	9	1	3	2	5
"LOC106563165"	2047	1983	1896	2127	1806	1600	1887	1458
"LOC106563166"	42	44	38	39	65	53	82	81
"LOC106563168"	1190	1169	1010	1117	1404	1338	1351	1111
"LOC106563169"	1	0	0	0	0	0	0	0
"LOC106563170"	0	0	0	1	0	3	0	3
"LOC106563173"	0	1	0	0	1	1	0	1
"LOC106563176"	1	1	0	0	0	0	1	0
"LOC106563177"	12	4	5	5	1	4	2	3
"LOC106563178"	95	43	63	90	96	171	91	478
"LOC106563179"	1282	781	1838	669	991	1368	1537	2177
"LOC106563180"	483	713	456	371	526	639	592	513
"LOC106563181"	510	559	419	480	535	534	544	419
"LOC106563182"	5	14	3	4	2	29	8	19
"LOC106563184"	804	1460	981	703	948	1030	990	689
"LOC106563185"	495	716	497	523	789	1039	761	966
"LOC106563187"	773	870	792	665	918	882	1037	747
"LOC106563189"	11	3	6	7	10	7	2	6
"LOC106563190"	163	192	172	189	205	215	189	158
"LOC106563194"	599	588	590	607	537	479	477	389
"LOC106563195"	588	589	567	509	521	396	496	378
"LOC106563197"	658	792	758	758	718	651	792	571
"LOC106563198"	1718	1823	1667	1837	1845	1955	2300	1586
"LOC106563199"	171	119	150	94	101	62	76	53
"LOC106563202"	37	38	36	25	27	30	47	36
"LOC106563204"	6	7	3	9	6	4	5	3
"LOC106563206"	859	982	817	764	917	906	991	678
"LOC106563207"	20	17	13	18	25	23	35	32
"LOC106563208"	1477	1533	1369	1558	1529	1406	1708	1242
"LOC106563210"	0	0	0	1	1	0	0	0
"LOC106563211"	4	2	3	1	7	4	1	3
"LOC106563212"	36	27	41	34	33	35	19	10
"LOC106563213"	6	3	1	3	1	0	4	2
"LOC106563214"	9	8	4	8	11	15	7	29
"LOC106563215"	149	190	203	137	206	213	232	145
"LOC106563216"	1075	897	907	879	885	590	730	492
"LOC106563217"	2	1	1	5	2	1	1	1
"LOC106563218"	4	1	6	2	3	0	2	3
"LOC106563219"	3158	2941	2661	3040	2661	2599	2735	1879
"LOC106563220"	25	12	17	21	28	67	46	53
"LOC106563221"	1	2	1	2	2	1	1	0
"LOC106563222"	211	47	108	77	73	26	59	28
"LOC106563223"	197	119	140	156	217	327	263	366
"LOC106563227"	1746	1551	1469	1575	1619	1427	1364	1040
"LOC106563229"	14	21	17	34	34	97	49	255
"LOC106563231"	2877	1882	1720	2222	2758	3940	2888	4322
"LOC106563232"	747	715	663	704	733	680	756	554
"LOC106563233"	2	4	2	7	7	6	6	5
"LOC106563234"	1600	1826	1719	1511	1585	1258	1399	861
"LOC106563235"	2	1	1	0	3	6	1	2
"LOC106563236"	4231	4042	3234	3967	3328	3063	3193	2632
"LOC106563237"	206	142	157	218	106	91	244	123
"LOC106563238"	10	10	8	4	11	10	7	4
"LOC106563243"	2136	2208	2272	2374	2481	2617	2423	2120
"LOC106563244"	1	2	3	9	3	3	0	1
"LOC106563245"	483	346	281	386	396	396	382	425
"LOC106563247"	1802	1762	1652	1509	1838	1351	1641	1374
"LOC106563248"	1481	1820	1533	1433	1663	1530	1929	1128
"LOC106563249"	447	534	528	489	450	393	540	323
"LOC106563250"	423	426	433	397	449	384	532	333
"LOC106563251"	7	4	3	3	3	1	2	0
"LOC106563252"	8848	9102	6942	8259	6636	6560	5641	5117
"LOC106563254"	245	140	175	206	160	191	204	173
"LOC106563255"	148	162	116	171	142	161	141	142
"LOC106563257"	5264	5052	4968	4258	6332	5880	6325	4632
"LOC106563258"	10	2	6	8	2	1	3	2
"LOC106563259"	2	1	1	3	6	10	7	24
"LOC106563260"	2863	2662	2749	2199	2770	2743	2725	1982
"LOC106563261"	4	14	13	13	43	70	26	85
"LOC106563262"	18	11	28	17	22	12	18	15
"LOC106563263"	12	24	14	22	19	9	24	9
"LOC106563264"	1225	845	593	904	974	981	1070	856
"LOC106563265"	25	18	19	18	69	138	63	158
"LOC106563266"	21	14	22	21	25	16	21	25
"LOC106563267"	2	0	0	0	0	1	0	0
"LOC106563268"	13	7	11	18	3	5	10	12
"LOC106563270"	21	24	30	19	12	26	37	16
"LOC106563271"	615	568	552	565	468	577	581	401
"LOC106563272"	29	35	30	28	58	87	48	76
"LOC106563273"	2379	2224	2158	2186	2611	2221	2724	1823
"LOC106563274"	51	26	46	37	42	27	30	20
"LOC106563280"	6034	5956	5682	5335	5681	5312	5505	3985
"LOC106563282"	0	2	0	1	2	4	0	3
"LOC106563283"	831	594	569	717	495	552	868	416
"LOC106563284"	2171	1844	1962	1636	2080	1712	2245	1692
"LOC106563285"	1416	1157	1122	1238	1256	1115	1268	1113
"LOC106563286"	0	0	0	1	0	0	0	3
"LOC106563287"	14	10	12	21	17	43	27	43
"LOC106563289"	51	53	68	63	118	246	163	238
"LOC106563291"	473	451	345	362	596	489	477	389
"LOC106563294"	132	70	95	119	121	51	100	77
"LOC106563295"	7	3	4	21	5	2	4	4
"LOC106563296"	912	1100	827	1241	1344	1466	1231	1957
"LOC106563297"	0	0	0	0	0	0	0	1
"LOC106563298"	120	115	70	84	170	202	132	174
"LOC106563299"	95	99	131	160	137	240	216	280
"LOC106563300"	35	34	28	31	40	51	53	41
"LOC106563301"	172	179	155	148	216	197	177	156
"LOC106563302"	36	85	61	59	48	59	56	36
"LOC106563303"	5	20	15	16	40	53	45	118
"LOC106563304"	0	0	0	0	0	0	0	0
"LOC106563305"	7	21	12	19	25	27	26	29
"LOC106563306"	862	886	750	807	735	830	900	750
"LOC106563307"	1235	1237	1197	1389	1212	1316	1307	1003
"LOC106563308"	26	12	22	21	13	19	17	19
"LOC106563309"	1	4	0	5	4	2	1	3
"LOC106563311"	2557	2192	2198	2106	2091	2130	2531	1539
"LOC106563313"	111	125	95	112	134	114	109	89
"LOC106563314"	22	21	7	10	14	15	12	5
"LOC106563315"	1	1	1	1	1	0	0	3
"LOC106563316"	0	0	0	0	0	0	0	0
"LOC106563319"	1360	1223	1367	1371	1300	1183	1405	962
"LOC106563321"	3	24	4	30	11	22	50	25
"LOC106563322"	3849	4353	4457	4622	4615	4192	5583	3310
"LOC106563324"	860	570	635	607	592	398	392	271
"LOC106563325"	9890	7566	6552	8292	7668	7069	7019	5952
"LOC106563326"	14	30	26	36	85	201	132	187
"LOC106563327"	233	217	133	136	278	196	164	167
"LOC106563330"	27	21	29	21	3	11	7	4
"LOC106563338"	36	28	47	38	32	33	23	141
"LOC106563345"	0	0	0	0	0	0	0	0
"LOC106563346"	22	21	14	20	21	19	15	7
"LOC106563349"	17	28	21	22	24	12	13	17
"LOC106563355"	0	0	0	0	0	0	0	2
"LOC106563358"	10	7	3	6	9	44	14	398
"LOC106563359"	0	0	0	0	0	0	1	1
"LOC106563360"	11	19	15	8	5	13	14	8
"LOC106563362"	39	20	21	31	15	9	14	12
"LOC106563365"	2	4	5	6	11	8	11	15
"LOC106563368"	15	25	6	15	13	10	23	12
"LOC106563369"	0	0	0	1	0	0	0	0
"LOC106563370"	17	17	4	4	4	4	4	5
"LOC106563371"	66	72	29	41	62	37	51	39
"LOC106563372"	0	0	0	0	0	0	0	0
"LOC106563373"	56	80	49	49	73	93	66	84
"LOC106563375"	51	31	38	24	37	15	40	22
"LOC106563377"	0	0	0	1	0	0	0	0
"LOC106563378"	547	601	521	464	828	769	830	542
"LOC106563379"	1	0	0	0	0	4	0	1
"LOC106563380"	3	0	2	7	1	4	3	4
"LOC106563382"	0	0	0	0	0	0	0	0
"LOC106563383"	397	430	452	456	797	898	831	925
"LOC106563386"	4	5	2	2	1	7	4	2
"LOC106563388"	1907	2274	2220	2741	3839	6613	5084	7882
"LOC106563389"	2766	2812	2676	2086	2714	2482	3106	1816
"LOC106563390"	0	0	0	3	1	0	0	0
"LOC106563391"	65	68	65	47	34	65	66	39
"LOC106563393"	4470	3587	3235	3385	3618	3949	3625	3028
"LOC106563394"	21	42	30	26	106	360	123	818
"LOC106563395"	1665	1684	1583	1811	1386	1544	1489	1392
"LOC106563396"	2	3	1	1	4	8	2	38
"LOC106563397"	48	10	9	16	7	11	18	7
"LOC106563398"	84	106	108	81	176	196	117	168
"LOC106563399"	63	29	51	62	59	2	53	11
"LOC106563400"	0	0	0	0	0	0	0	0
"LOC106563405"	4988	4101	3895	4333	4382	3397	3681	2764
"LOC106563409"	11	8	4	5	4	6	10	4
"LOC106563413"	5	9	5	7	20	39	12	60
"LOC106563414"	27	15	7	14	14	24	21	32
"LOC106563418"	285	306	290	302	305	283	179	237
"LOC106563420"	39	46	28	51	67	124	50	158
"LOC106563422"	4	0	6	3	1	2	5	1
"LOC106563423"	7	10	8	16	12	7	12	8
"LOC106563424"	2410	2138	1714	2510	2264	2242	1930	2365
"LOC106563426"	53	61	65	73	149	226	174	205
"LOC106563427"	3	2	3	9	3	1	8	7
"LOC106563429"	3	7	7	5	6	12	6	23
"LOC106563430"	30	106	17	27	23	37	23	43
"LOC106563431"	24	14	37	8	25	19	8	9
"LOC106563433"	3	2	1	3	1	2	1	1
"LOC106563436"	21	43	33	49	27	72	22	30
"LOC106563437"	9	6	9	9	15	20	5	39
"LOC106563438"	6075	3925	3807	5042	4793	2227	3483	2105
"LOC106563439"	2	3	2	0	4	5	2	0
"LOC106563440"	1406	1249	1018	1353	1323	1331	1180	1064
"LOC106563441"	736	624	845	907	1068	863	984	663
"LOC106563443"	2	2	2	6	4	19	10	18
"LOC106563445"	8277	7799	6484	7860	6610	5521	5620	4249
"LOC106563447"	62	71	49	68	129	226	142	289
"LOC106563448"	746	714	662	664	759	696	972	570
"LOC106563449"	29	21	26	7	16	20	33	19
"LOC106563450"	0	0	0	0	2	0	1	0
"LOC106563451"	8	12	10	14	16	50	22	85
"LOC106563452"	0	0	0	0	0	0	0	0
"LOC106563453"	0	1	0	0	1	1	1	3
"LOC106563454"	2723	2718	2565	2578	2650	2435	2457	1977
"LOC106563455"	3	2	1	4	5	1	2	2
"LOC106563456"	30	68	52	138	240	291	134	818
"LOC106563457"	8621	7159	6212	7058	6439	5574	6165	4839
"LOC106563458"	1	1	1	2	1	1	4	1
"LOC106563459"	0	0	3	1	0	0	3	0
"LOC106563462"	4	0	1	4	5	1	5	2
"LOC106563463"	634	633	696	644	609	509	612	447
"LOC106563464"	1313	1413	1449	1452	1416	1428	1430	1083
"LOC106563466"	145	168	139	230	189	191	151	159
"LOC106563467"	8	17	13	17	15	14	19	7
"LOC106563468"	0	0	0	0	0	0	0	0
"LOC106563476"	2275	2537	2259	2153	2609	2001	2656	1609
"LOC106563477"	361	224	275	278	589	563	519	578
"LOC106563478"	492	442	481	472	486	336	434	281
"LOC106563479"	40	46	63	50	65	96	72	70
"LOC106563480"	998	1318	1197	1218	1178	1189	1046	1016
"LOC106563481"	686	720	634	805	773	696	717	665
"LOC106563482"	373	347	412	382	381	355	353	305
"LOC106563483"	1329	1021	873	1058	990	765	782	566
"LOC106563484"	1	2	0	1	0	0	0	0
